timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-31T00:00:00.000Z";"2023-08-31T23:59:59.999Z";"2023-08-31T05:58:00.000Z";"2023-08-31T17:23:00.000Z";1.1090424036;1.1685982008;1.0663869291;1.0794989039;8274902;144123776.55;"2023-08-31T23:59:59.999Z"
"2023-08-30T00:00:00.000Z";"2023-08-30T23:59:59.999Z";"2023-08-30T08:09:00.000Z";"2023-08-30T16:05:00.000Z";1.1089005567;1.1410221725;1.0870180001;1.1089308403;6220806.28;148017978.81;"2023-08-30T23:59:59.999Z"
"2023-08-29T00:00:00.000Z";"2023-08-29T23:59:59.999Z";"2023-08-29T16:24:00.000Z";"2023-08-29T10:30:00.000Z";1.0892589597;1.1393782935;1.0494577172;1.1088652117;14694239.72;147973821.12;"2023-08-29T23:59:59.999Z"
"2023-08-28T00:00:00.000Z";"2023-08-28T23:59:59.999Z";"2023-08-28T19:13:00.000Z";"2023-08-28T05:41:00.000Z";1.0402995734;1.1469527071;1.0165298499;1.0891452041;28618161.51;145307404.01;"2023-08-28T23:59:59.999Z"
"2023-08-27T00:00:00.000Z";"2023-08-27T23:59:59.999Z";"2023-08-27T23:58:00.000Z";"2023-08-27T14:13:00.000Z";1.027742132;1.0404221985;1.0074537185;1.0402645006;3641190.32;138752763.7;"2023-08-27T23:59:59.999Z"
"2023-08-26T00:00:00.000Z";"2023-08-26T23:59:59.999Z";"2023-08-26T04:04:00.000Z";"2023-08-26T00:46:00.000Z";1.0303671664;1.0761993049;1.0252261952;1.0278277687;6303015.43;137061081.53;"2023-08-26T23:59:59.999Z"
"2023-08-25T00:00:00.000Z";"2023-08-25T23:59:59.999Z";"2023-08-25T23:59:00.000Z";"2023-08-25T04:53:00.000Z";1.0207972031;1.0306203801;0.9960196618;1.0306203801;4171444.95;137400379.15;"2023-08-25T23:59:59.999Z"
"2023-08-24T00:00:00.000Z";"2023-08-24T23:59:59.999Z";"2023-08-24T11:41:00.000Z";"2023-08-24T23:16:00.000Z";1.0262940667;1.0590976857;1.0148021839;1.0206853028;8201874.7;136043086.69;"2023-08-24T23:59:59.999Z"
"2023-08-23T00:00:00.000Z";"2023-08-23T23:59:59.999Z";"2023-08-23T16:44:00.000Z";"2023-08-23T00:00:00.000Z";0.9883664041;1.0393589526;0.9883664041;1.0263820883;6944363.12;136769315.81;"2023-08-23T23:59:59.999Z"
"2023-08-22T00:00:00.000Z";"2023-08-22T23:59:59.999Z";"2023-08-22T00:25:00.000Z";"2023-08-22T21:31:00.000Z";1.0147210176;1.0190222242;0.9636538081;0.9883922694;5004105.1;131675055.72;"2023-08-22T23:59:59.999Z"
"2023-08-21T00:00:00.000Z";"2023-08-21T23:59:59.999Z";"2023-08-21T01:04:00.000Z";"2023-08-21T15:31:00.000Z";1.0310195082;1.0329415896;0.9916578918;1.0148499229;5173416.14;135167240.94;"2023-08-21T23:59:59.999Z"
"2023-08-20T00:00:00.000Z";"2023-08-20T23:59:59.999Z";"2023-08-20T13:51:00.000Z";"2023-08-20T17:00:00.000Z";1.0321409028;1.0422724332;1.027409246;1.0309768085;4368096.95;137281838.91;"2023-08-20T23:59:59.999Z"
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T16:58:00.000Z";"2023-08-19T06:43:00.000Z";1.0105697102;1.036358291;1.00654605;1.0321084948;5067973.16;137399021.4;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T23:57:00.000Z";"2023-08-18T00:04:00.000Z";0.9651187475;1.0107883218;0.9611942382;1.010519725;7005230.94;134492140.69;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:04:00.000Z";"2023-08-17T21:46:00.000Z";1.0495544578;1.064201048;0.8814317178;0.9650201953;9234877.64;128405084.99;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:24:00.000Z";"2023-08-16T21:16:00.000Z";1.101097482;1.1024091269;1.0244467351;1.0493531661;6935856.02;139592573.67;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T02:25:00.000Z";"2023-08-15T19:11:00.000Z";1.1840633415;1.1992672608;1.0710626818;1.1011224807;8764881.36;146443313.46;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T15:47:00.000Z";"2023-08-14T02:22:00.000Z";1.176562314;1.1934223679;1.167397094;1.1840629669;5906946.35;157435182.44;"2023-08-14T23:59:59.999Z"
